ds,y
2020-05-08,7041.04128
2020-05-09,2675.2152
2020-05-10,6160.5999
2020-05-11,6625.794
2020-05-12,6281.6565
2020-05-13,5811.6744
2020-05-14,6168.4735
2020-05-15,5783.1592
2020-05-16,5930.2971
2020-05-17,5322.0615
2020-05-18,6566.1568
2020-05-19,5822.5272
2020-05-20,6038.5192
2020-05-21,6386.2344
2020-05-22,5128.9056
2020-05-23,5467.231
2020-05-24,5660.48
2020-05-25,5839.3916
2020-05-26,5619.0372
2020-05-27,6383.388916
2020-05-28,5969.282592
2020-05-29,5205.62
2020-05-30,6031.368322
2020-05-31,5496.0388
2020-06-01,4883.76
2020-06-02,5175.429
2020-06-03,5633.5608
2020-06-04,5785.8192
2020-06-05,5636.4336
2020-06-06,6222.4848
2020-06-07,5634.754448
2020-06-08,5730.587226
2020-06-09,5761.56
2020-06-10,6214.965379
2020-06-11,5952.4416
2020-06-12,5766.9066
2020-06-13,5167.05
2020-06-14,5678.169
2020-06-15,6005.5884
2020-06-16,5496.0388
2020-06-17,6403.152
2020-06-18,5597.2917
2020-06-19,5356.3356
2020-06-20,5156.350368
2020-06-21,5410.875841
2020-06-22,5762.8368
2020-06-23,6084.351
2020-06-24,4974.2
2020-06-25,5770.0188
2020-06-26,5936.038847
2020-06-27,5438.172734
2020-06-28,5616.3373
2020-06-29,4876.179
2020-06-30,5375.4876
2020-07-01,5302.434956
2020-07-02,5761.29952
2020-07-03,6228.0176
2020-07-04,6114.8346
2020-07-05,5382.948328
2020-07-06,6137.525331
2020-07-07,8147.7396
2020-07-08,6289.37848
2020-07-09,6136.64128
2020-07-10,6295.34752
2020-07-11,5261.579431
2020-07-12,6043.911286
2020-07-13,5076.8494
2020-07-14,4298.56
2020-07-15,5278.2912
2020-07-16,6026.9216
2020-07-17,6059.4534
2020-07-18,4472.809518
2020-07-19,5434.4864
2020-07-20,6553.8144
2020-07-21,4644.9984
2020-07-22,6109.488
2020-07-23,5416.4516
2020-07-24,5914.776
2020-07-25,5816.4225
2020-07-26,6859.2888
2020-07-27,6276.1104
2020-07-28,5790.0486
2020-07-29,5736.04466
2020-07-30,6382.710166
2020-07-31,6240.36
2020-08-01,6359.661
2020-08-02,5560.2512
2020-08-03,6320.16
2020-08-04,6097.119
2020-08-05,5635.476
2020-08-06,5943.504
2020-08-07,6165.0288
2020-08-08,5443.2378
2020-08-09,5308.9344
2020-08-10,5973.1098
2020-08-11,5671.9446
2020-08-12,5921.2664
2020-08-13,5148.297
2020-08-14,4978.0038
2020-08-15,5298.581962
2020-08-16,5864.8478
2020-08-17,5609.94
2020-08-18,5075.28
2020-08-19,5479.866
2020-08-20,5507.796
2020-08-21,5447.6268
2020-08-22,5626.8576
2020-08-23,5323.2984
2020-08-24,6435.072
2020-08-25,6394.8395
2020-08-26,6542.665382
2020-08-27,6148.7895
2020-08-28,5079.1104
2020-08-29,6438.4236
2020-08-30,5589.192
2020-08-31,5416.1856
2020-09-01,6672.876
2020-09-02,5828.9245
2020-09-03,5567.4864
2020-09-04,6543.127435
2020-09-05,6442.7328
2020-09-06,5077.674
2020-09-07,6218.947
2020-09-08,6326.330455
2020-09-09,6202.2688
2020-09-10,5757.57
2020-09-11,6279.196
2020-09-12,5413.8448
2020-09-13,5155.5854
2020-09-14,5550.09
2020-09-15,6368.04
2020-09-16,6212.9886
2020-09-17,5228.496
2020-09-18,6222.1124
2020-09-19,6002.6358
2020-09-20,6191.948
2020-09-21,6678.7812
2020-09-22,5686.7076
2020-09-23,6082.9944
2020-09-24,5761.56
2020-09-25,6362.618069
2020-09-26,6497.011536
2020-09-27,5787.096
2020-09-28,2788.5312
2020-09-29,6123.307126
2020-09-30,5421.361066
2020-10-01,5119.3163
2020-10-02,5515.9356
2020-10-03,6451.431
2020-10-04,5465.901
2020-10-05,6222.205899
2020-10-06,5869.231427
2020-10-07,7098.4095
2020-10-08,5557.393296
2020-10-09,6722.352
2020-10-10,6235.725854
2020-10-11,6450.087567
2020-10-12,5651.032052
2020-10-13,5590.222165
2020-10-14,6283.375392
2020-10-15,6160.212072
2020-10-16,2409.681498
2020-10-17,2510.507645
2020-10-18,2511.141772
2020-10-19,2633.6128
2020-10-20,2810.8752
2020-10-21,5972.189227
2020-10-22,6378.68
2020-10-23,2421.9832
2020-10-24,3111.003
2020-10-25,2871.496228
2020-10-26,3190.7232
2020-10-27,2539.5552
2020-10-28,2714.466893
2020-10-29,5958.365186
2020-10-30,6144.0015
2020-10-31,7469.28
2020-11-01,6852.16
2020-11-02,2784.8737
2020-11-03,2762.144
2020-11-04,3165.1074
2020-11-05,2417.94
2020-11-06,3566.1024
2020-11-07,3640.21
2020-11-08,2885.568
2020-11-09,7407.036
2020-11-10,5978.5362
2020-11-11,2740.0128
2020-11-12,2434.432
